1000 16
12 3 7 11 10 3 5 2 11 15 15 8 11 15 15 13 
1 3 5
14 18 3
10 13 4
0 3 8
15 16 3
9 14 12
6 9 10
16 19 14
6 9 10
19 22 2
7 9 2
15 18 5
15 17 15
15 18 7
9 13 1
4 8 7
0 2 3
4 5 14
22 1 14
18 21 7
8 12 5
0 3 14
9 13 16
5 10 15
6 11 14
15 18 5
22 23 5
6 10 15
4 7 13
9 11 9
6 9 2
15 18 4
6 10 1
18 20 12
0 1 3
22 1 7
10 12 16
3 5 6
4 8 3
10 12 14
5 7 1
14 17 12
21 1 7
6 9 15
14 19 9
17 21 6
1 5 9
18 20 13
5 8 9
5 8 11
19 22 1
19 22 8
15 17 13
23 2 7
9 11 7
9 12 6
0 4 4
15 17 10
21 3 12
4 8 12
23 0 14
4 8 8
18 21 15
21 0 7
2 3 12
6 10 6
18 21 1
23 1 10
0 1 12
21 1 16
8 10 9
8 12 1
23 2 3
21 23 1
1 6 16
1 3 1
0 1 9
6 10 11
19 21 5
10 15 8
20 23 16
18 22 1
21 0 15
2 5 1
12 14 2
14 17 9
6 8 6
13 17 5
8 11 13
12 15 3
1 5 6
10 14 3
8 13 5
22 2 8
23 1 1
6 10 1
17 20 16
0 3 14
14 17 14
20 0 14
8 11 13
4 7 9
10 12 8
16 19 13
6 9 2
13 16 8
15 20 3
0 4 7
14 17 13
2 5 11
20 22 2
21 0 12
1 5 16
11 14 14
11 15 7
20 23 9
0 3 9
1 4 11
7 10 15
21 1 6
10 13 9
9 12 1
15 18 16
1 4 3
8 12 6
19 22 9
19 23 12
14 16 8
22 0 14
17 20 3
11 14 5
22 0 10
11 14 8
8 10 13
15 18 12
16 18 16
12 14 10
0 3 1
5 9 11
9 11 4
20 23 3
3 6 9
10 14 11
11 14 7
12 14 4
6 9 3
10 14 14
2 6 6
8 10 4
18 22 7
12 14 2
11 13 5
7 11 4
16 19 12
18 21 1
9 13 10
13 18 14
5 8 10
3 6 5
17 20 12
14 17 11
13 18 4
2 5 10
5 10 10
3 6 8
15 18 6
13 19 12
17 21 13
20 21 3
14 17 2
21 0 16
15 19 5
16 18 5
13 16 7
2 5 16
18 23 7
5 8 4
7 10 4
4 8 2
1 5 8
9 12 6
15 19 9
18 22 3
5 9 15
2 6 4
4 6 15
2 4 12
2 7 2
13 16 4
0 3 6
13 17 10
18 23 2
15 18 4
21 0 3
9 11 16
19 22 9
22 0 14
6 9 5
18 21 5
23 1 13
5 7 6
20 1 15
13 14 13
22 2 11
20 21 12
9 12 11
14 17 16
12 15 10
18 23 1
3 5 8
2 4 15
9 13 7
14 18 5
2 5 4
22 0 15
0 4 5
16 19 8
15 19 6
7 9 7
14 17 14
5 6 15
19 22 13
16 20 16
22 2 1
15 18 11
6 9 11
17 21 11
10 13 11
10 13 6
14 17 15
22 1 11
15 18 11
1 3 4
18 20 6
23 2 8
13 17 13
9 12 15
16 19 13
4 6 16
15 16 9
17 19 5
11 13 1
16 20 13
5 8 7
2 4 3
11 15 1
13 15 3
23 1 15
7 9 10
12 14 10
18 22 13
3 8 3
18 21 13
3 6 13
10 13 10
1 5 11
12 14 9
14 16 4
17 21 15
9 13 5
18 22 4
20 1 14
18 21 7
0 3 16
23 3 15
12 15 13
22 2 5
8 9 10
16 18 6
8 11 15
11 13 3
23 2 12
4 7 11
16 20 14
21 22 2
9 12 11
19 21 3
15 17 10
14 18 14
0 3 10
14 16 10
2 7 15
10 14 12
13 15 8
14 17 9
18 22 15
9 13 10
10 13 6
1 4 15
20 0 15
20 1 15
2 4 8
14 18 4
17 19 6
12 15 12
14 17 1
19 22 5
14 16 1
20 22 12
9 12 4
7 10 9
10 15 15
3 7 4
1 4 8
22 0 5
5 10 6
4 8 6
16 19 2
7 10 16
5 7 7
14 17 9
4 8 4
20 22 1
20 23 5
6 10 7
18 20 9
14 17 16
13 18 8
12 14 3
18 22 11
23 3 10
1 5 2
20 0 2
6 8 6
12 16 3
4 8 10
12 14 12
21 1 8
16 18 4
11 15 3
6 8 1
8 13 14
19 21 13
3 5 10
9 11 10
14 16 16
23 4 9
0 3 3
7 11 12
16 20 4
10 12 6
22 1 13
11 14 6
21 2 9
6 8 8
10 13 9
10 12 11
5 8 6
13 18 6
10 14 15
10 14 3
5 8 14
3 4 3
18 21 4
9 12 2
17 19 8
2 5 5
21 0 7
1 4 11
14 16 13
2 6 1
23 2 13
13 15 6
10 12 12
0 3 5
8 12 6
17 18 14
15 18 14
2 5 7
12 15 6
11 14 6
13 17 16
3 6 7
4 8 8
17 20 15
8 11 10
9 13 1
18 22 4
21 1 1
14 18 13
5 8 9
3 8 12
3 6 15
22 0 2
13 17 4
15 20 13
22 1 3
9 13 9
18 18 3
4 7 10
21 23 1
22 2 13
20 23 15
4 6 12
5 8 3
1 4 14
8 10 14
11 13 7
15 19 6
22 0 9
22 0 3
13 16 13
23 2 10
13 15 1
10 13 4
7 9 10
18 20 6
7 10 6
1 4 8
9 12 15
2 4 6
23 2 11
2 6 11
21 1 14
4 6 11
0 2 9
23 2 3
9 12 12
11 14 9
3 5 2
5 9 5
6 10 4
2 6 4
5 8 10
16 20 5
0 3 7
18 19 11
0 2 2
9 13 12
13 16 8
6 9 16
18 20 10
3 7 13
11 15 1
1 6 8
14 16 10
17 20 6
0 5 10
14 16 8
16 18 3
13 16 14
20 22 16
12 16 4
11 15 12
20 22 9
2 5 15
2 5 16
8 11 4
9 12 10
10 13 7
21 1 6
19 22 3
4 6 16
7 10 12
22 23 9
17 20 6
15 17 3
10 12 12
6 10 6
5 8 7
7 10 3
3 3 8
21 0 7
22 1 2
11 16 11
23 1 12
0 3 4
15 18 3
8 10 10
23 3 4
1 4 14
22 1 2
6 6 1
1 5 7
5 10 5
12 17 5
5 7 10
6 9 14
13 16 9
14 17 7
2 5 12
0 2 13
21 22 15
3 6 7
11 14 11
7 9 14
22 0 11
9 12 3
22 1 1
12 15 14
13 17 10
