n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,1,21,0.000042,1
1000,2,18,0.000042,3
1000,3,11,0.000042,5
1000,4,4,0.000046,9
1000,5,0,0.000053,10
1000,6,1,0.000061,11
1000,7,0,0.000053,12
1000,8,0,0.000056,11
1000,9,0,0.000057,17
1000,10,0,0.000045,11
1000,11,1,0.000050,11
1000,12,0,0.000068,11
1000,13,0,0.000047,12
1000,14,0,0.000045,9
1000,15,1,0.000050,11
1000,16,0,0.000077,11
1000,17,0,0.000052,14
1000,18,0,0.000046,9
1000,19,0,0.000071,10
1000,20,0,0.000043,9
1000,21,1,0.000049,13
1000,22,0,0.000049,13
1000,23,0,0.000050,14
1000,24,1,0.000133,12
1000,25,0,0.000048,12
1000,26,0,0.000063,13
1000,27,0,0.000049,12
1000,28,0,0.000043,11
1000,29,0,0.000048,14
1000,30,0,0.000054,12
1000,31,1,0.000093,14
1000,32,0,0.000052,13
1000,33,0,0.000047,12
1000,34,1,0.000054,13
1000,35,0,0.000049,11
1000,36,0,0.000047,11
1000,37,0,0.000046,11
1000,38,0,0.000060,13
1000,39,0,0.000047,11
1000,40,0,0.000059,14
1000,41,0,0.000048,14
1000,42,0,0.000049,10
1000,43,1,0.000047,12
1000,44,0,0.000050,14
1000,45,1,0.000047,13
1000,46,0,0.000046,13
1000,47,2,0.000055,8
1000,48,0,0.000047,14
1000,49,1,0.000054,13
1000,50,0,0.000048,12
2000,1,21,0.000074,1
2000,2,12,0.000076,4
2000,3,8,0.000078,7
2000,4,1,0.000089,11
2000,5,0,0.000098,11
2000,6,0,0.000099,11
2000,7,0,0.000081,9
2000,8,0,0.000102,11
2000,9,0,0.000096,12
2000,10,0,0.000095,11
2000,11,0,0.000091,13
2000,12,0,0.000107,15
2000,13,0,0.000094,12
2000,14,0,0.000096,10
2000,15,0,0.000087,11
2000,16,0,0.000085,13
2000,17,0,0.000091,12
2000,18,0,0.000095,10
2000,19,0,0.000091,9
2000,20,0,0.000087,12
2000,22,0,0.000093,13
2000,23,0,0.000083,10
2000,24,0,0.000088,13
2000,25,0,0.000090,9
2000,26,0,0.000083,11
2000,27,0,0.000094,11
2000,28,0,0.000094,13
2000,29,0,0.000090,12
2000,30,0,0.000096,13
2000,31,0,0.000083,12
2000,32,0,0.000093,14
2000,33,0,0.000086,14
2000,34,0,0.000092,14
2000,35,0,0.000104,11
2000,36,0,0.000102,11
2000,37,0,0.000091,13
2000,38,0,0.000084,12
2000,39,0,0.000088,16
2000,40,0,0.000087,11
2000,41,0,0.000091,12
2000,42,0,0.000080,10
2000,43,0,0.000087,12
2000,44,0,0.000083,10
2000,45,0,0.000092,12
2000,46,0,0.000097,13
2000,47,0,0.000088,12
2000,48,0,0.000092,17
2000,49,0,0.000082,11
2000,50,0,0.000085,12
3000,1,23,0.000152,1
3000,2,15,0.000111,2
3000,3,7,0.000115,6
3000,4,6,0.000113,7
3000,5,0,0.000152,12
3000,6,0,0.000179,13
3000,7,0,0.000143,13
3000,8,0,0.000155,12
3000,9,0,0.000127,12
3000,10,0,0.000124,11
3000,11,0,0.000137,14
3000,12,0,0.000125,10
3000,13,0,0.000138,11
3000,14,0,0.000141,11
3000,15,0,0.000149,13
3000,16,0,0.000125,9
3000,17,0,0.000134,13
3000,19,0,0.000125,10
3000,20,0,0.000134,10
3000,21,0,0.000131,15
3000,22,0,0.000136,14
3000,23,0,0.000120,10
3000,24,0,0.000132,12
3000,25,0,0.000132,15
3000,26,0,0.000136,15
3000,27,0,0.000137,13
3000,28,0,0.000142,12
3000,29,0,0.000143,11
3000,30,0,0.000252,12
3000,31,0,0.000126,13
3000,32,0,0.000123,12
3000,33,0,0.000122,11
3000,34,0,0.000121,12
3000,35,0,0.000131,13
3000,36,0,0.000126,10
3000,37,0,0.000129,12
3000,38,0,0.000130,11
3000,39,0,0.000146,12
3000,41,0,0.000140,14
3000,42,0,0.000150,12
3000,43,0,0.000126,13
3000,44,0,0.000135,13
3000,45,0,0.000132,11
3000,46,0,0.000123,13
3000,47,0,0.000135,12
3000,48,0,0.000157,11
3000,49,0,0.000128,12
3000,50,0,0.000138,12
4000,1,21,0.000146,1
4000,2,14,0.000148,4
4000,3,5,0.000163,7
4000,4,0,0.000192,9
4000,5,0,0.000191,9
4000,6,0,0.000193,10
4000,7,0,0.000241,12
4000,8,0,0.000174,11
4000,9,0,0.000163,12
4000,10,0,0.000181,12
4000,11,0,0.000177,13
4000,12,0,0.000160,9
4000,13,0,0.000179,11
4000,14,0,0.000190,13
4000,15,0,0.000172,11
4000,16,0,0.000174,12
4000,18,0,0.000165,15
4000,19,0,0.000173,12
4000,20,0,0.000176,12
4000,21,0,0.000161,12
4000,22,0,0.000174,12
4000,23,0,0.000178,12
4000,24,0,0.000207,13
4000,25,0,0.000180,12
4000,26,0,0.000189,13
4000,27,0,0.000164,10
4000,28,0,0.000168,10
4000,29,0,0.000183,10
4000,30,0,0.000168,12
4000,31,0,0.000175,12
4000,32,0,0.000220,10
4000,33,0,0.000172,12
4000,34,0,0.000171,15
4000,35,0,0.000166,12
4000,36,0,0.000170,11
4000,37,0,0.000184,13
4000,38,0,0.000161,12
4000,39,0,0.000161,11
4000,40,0,0.000169,11
4000,41,0,0.000162,10
4000,42,0,0.000171,13
4000,43,0,0.000186,13
4000,44,0,0.000160,11
4000,45,0,0.000483,12
4000,46,0,0.000173,13
4000,47,0,0.000170,13
4000,48,0,0.000165,10
4000,49,0,0.000172,12
4000,50,0,0.000200,12
5000,1,21,0.000181,1
5000,2,14,0.000190,4
5000,3,13,0.000183,5
