n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,20,0,0.000052,18
1000,20,0,0.000055,16
1000,20,0,0.000042,9
1000,20,2,0.000049,9
1000,20,3,0.000046,5
1000,20,3,0.000041,4
1000,20,7,0.000057,3
1000,20,1,0.000054,3
1000,20,1,0.000040,3
1000,20,3,0.000041,2
1000,20,3,0.000044,2
1000,20,12,0.000057,1
2000,20,0,0.000094,18
2000,20,0,0.000087,17
2000,20,0,0.000084,12
2000,20,4,0.000165,7
2000,20,4,0.000097,4
2000,20,4,0.000127,4
2000,20,3,0.000078,3
2000,20,8,0.000114,2
2000,20,6,0.000082,2
2000,20,4,0.000078,2
2000,20,13,0.000118,1
2000,20,11,0.000098,1
3000,20,0,0.000139,20
3000,20,0,0.000132,17
3000,20,0,0.000140,12
3000,20,0,0.000124,9
3000,20,5,0.000186,5
3000,20,4,0.000131,4
3000,20,6,0.000146,3
3000,20,10,0.000176,2
3000,20,7,0.000122,2
3000,20,6,0.000131,2
3000,20,4,0.000138,2
3000,20,2,0.000150,2
4000,20,0,0.000185,19
4000,20,0,0.000166,14
4000,20,0,0.000188,13
4000,20,0,0.000163,7
4000,20,1,0.000167,5
4000,20,3,0.000163,4
4000,20,5,0.000161,3
4000,20,0,0.000161,4
4000,20,8,0.000188,2
4000,20,6,0.000155,2
4000,20,2,0.000166,2
4000,20,2,0.000157,2
5000,20,0,0.000242,18
5000,20,0,0.000210,14
5000,20,0,0.000215,13
5000,20,0,0.000196,8
5000,20,1,0.000227,5
5000,20,3,0.000194,4
5000,20,4,0.000219,3
5000,20,2,0.000193,3
5000,20,5,0.000193,2
5000,20,2,0.000230,2
5000,20,6,0.000201,2
5000,20,2,0.000192,2
6000,20,0,0.000284,20
6000,20,0,0.000250,14
6000,20,0,0.000248,11
6000,20,0,0.000238,11
6000,20,3,0.000385,6
6000,20,3,0.000233,4
6000,20,2,0.000233,4
6000,20,2,0.000267,3
6000,20,4,0.000268,2
6000,20,4,0.000234,2
6000,20,6,0.000233,2
6000,20,1,0.000238,2
7000,20,0,0.000330,20
7000,20,0,0.000288,13
7000,20,0,0.000356,12
7000,20,1,0.000291,8
7000,20,2,0.000286,5
7000,20,1,0.000331,5
7000,20,0,0.000292,4
7000,20,6,0.000289,2
7000,20,3,0.000539,3
7000,20,7,0.000265,2
7000,20,12,0.000410,1
7000,20,14,0.000395,1
8000,20,0,0.000372,20
8000,20,0,0.000349,14
8000,20,0,0.000337,10
8000,20,0,0.000410,8
8000,20,2,0.000351,6
8000,20,5,0.000396,3
8000,20,4,0.000304,3
8000,20,3,0.000343,3
8000,20,6,0.000326,2
8000,20,8,0.000349,2
8000,20,1,0.000309,2
8000,20,2,0.000402,2
9000,20,0,0.000435,19
9000,20,0,0.000389,13
9000,20,0,0.000391,10
9000,20,0,0.000366,11
9000,20,2,0.000415,5
9000,20,5,0.000440,4
9000,20,3,0.000357,3
9000,20,7,0.000435,2
9000,20,6,0.000342,2
9000,20,4,0.000340,2
9000,20,4,0.000371,2
9000,20,2,0.000377,2
10000,20,0,0.000460,18
10000,20,0,0.000427,13
10000,20,0,0.000405,13
10000,20,0,0.000408,10
10000,20,1,0.000420,7
10000,20,2,0.000438,5
10000,20,2,0.000400,4
10000,20,7,0.000502,2
10000,20,6,0.000381,2
10000,20,4,0.000425,2
10000,20,8,0.000426,2
10000,20,1,0.000402,2
11000,20,0,0.000511,19
11000,20,0,0.000449,15
11000,20,0,0.000608,12
11000,20,0,0.000427,8
11000,20,1,0.000480,7
11000,20,2,0.000547,5
11000,20,4,0.000407,3
11000,20,7,0.000529,2
11000,20,6,0.000435,2
11000,20,5,0.000444,2
11000,20,4,0.000438,2
11000,20,2,0.000457,2
12000,20,0,0.000537,16
12000,20,0,0.000536,13
12000,20,0,0.000506,10
12000,20,0,0.000490,8
12000,20,1,0.000478,6
12000,20,4,0.000489,4
12000,20,4,0.000501,4
12000,20,3,0.000465,3
12000,20,1,0.000457,3
12000,20,4,0.000462,2
12000,20,13,0.000753,1
12000,20,2,0.000466,2
13000,20,0,0.000654,23
13000,20,0,0.000573,15
13000,20,0,0.000594,11
13000,20,0,0.000510,7
13000,20,2,0.000549,6
13000,20,0,0.000506,5
13000,20,5,0.000762,3
13000,20,8,0.000716,2
13000,20,7,0.000635,2
13000,20,5,0.000521,2
13000,20,4,0.000608,2
13000,20,13,0.000726,1
14000,20,0,0.000645,18
14000,20,0,0.000579,14
14000,20,0,0.000918,13
14000,20,0,0.000556,9
14000,20,0,0.000779,6
14000,20,2,0.000573,4
14000,20,2,0.000742,4
14000,20,5,0.000544,3
14000,20,7,0.000622,2
14000,20,6,0.000536,2
14000,20,4,0.000548,2
14000,20,3,0.000675,2
15000,20,0,0.000723,21
15000,20,0,0.000658,16
15000,20,0,0.000607,14
15000,20,0,0.000606,10
15000,20,1,0.000598,5
15000,20,2,0.000866,5
15000,20,3,0.000578,3
15000,20,4,0.000649,3
15000,20,0,0.000564,3
15000,20,6,0.000714,2
15000,20,1,0.000566,2
15000,20,11,0.000740,1
16000,20,0,0.000744,17
16000,20,0,0.000659,18
16000,20,0,0.001305,12
16000,20,0,0.000639,10
16000,20,1,0.000732,7
16000,20,4,0.000661,5
16000,20,3,0.000610,3
16000,20,4,0.000786,3
16000,20,0,0.000627,3
16000,20,6,0.000632,2
16000,20,6,0.000635,2
16000,20,11,0.000788,1
17000,20,0,0.000804,16
17000,20,0,0.000738,14
17000,20,0,0.000762,13
17000,20,0,0.000674,9
17000,20,2,0.000682,7
17000,20,0,0.000657,5
17000,20,2,0.000645,3
17000,20,1,0.000700,3
17000,20,1,0.000663,3
17000,20,5,0.000649,2
17000,20,4,0.000657,2
17000,20,12,0.000960,1
18000,20,0,0.001267,18
18000,20,0,0.000777,19
18000,20,0,0.000755,10
18000,20,0,0.000735,8
18000,20,1,0.000832,6
18000,20,1,0.000714,4
18000,20,2,0.000758,3
18000,20,0,0.000706,3
18000,20,5,0.001273,2
18000,20,5,0.000697,2
18000,20,3,0.000712,2
18000,20,11,0.000879,1
19000,20,0,0.000889,17
19000,20,0,0.000776,17
19000,20,0,0.000757,10
19000,20,0,0.000765,9
19000,20,1,0.000732,4
19000,20,4,0.000738,3
19000,20,3,0.000795,3
19000,20,2,0.000738,3
19000,20,9,0.001028,2
19000,20,0,0.000767,3
19000,20,6,0.000837,2
19000,20,11,0.000931,1
20000,20,0,0.000976,21
20000,20,0,0.000852,15
20000,20,0,0.000796,12
20000,20,0,0.000801,9
20000,20,0,0.000745,7
20000,20,2,0.000980,4
20000,20,3,0.000801,3
20000,20,1,0.000757,3
20000,20,7,0.000910,2
20000,20,5,0.000751,2
20000,20,4,0.000752,2
20000,20,11,0.001237,1
21000,20,0,0.000978,18
21000,20,0,0.000888,14
21000,20,0,0.000839,13
21000,20,0,0.000835,10
21000,20,2,0.000857,5
21000,20,3,0.000877,4
21000,20,4,0.000993,3
21000,20,3,0.000835,3
21000,20,7,0.000825,2
21000,20,5,0.000786,2
21000,20,2,0.001126,2
