n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1,1,24,0.000542,1
1,2,24,0.000620,1
1,3,24,0.000565,1
1,4,24,0.000581,1
1,5,24,0.000618,1
1,6,24,0.000846,1
1,7,24,0.001684,1
1,8,24,0.001272,1
1,9,24,0.000481,1
2,1,24,0.001641,1
2,2,24,0.002782,2
2,3,24,0.000551,1
2,4,24,0.000679,2
2,5,24,0.001797,2
2,6,24,0.000436,2
2,7,24,0.000465,2
2,8,24,0.000512,1
2,9,24,0.001428,2
3,1,24,0.000901,1
3,2,24,0.000501,2
3,3,24,0.000867,2
3,4,24,0.000494,2
3,5,24,0.000371,2
3,6,24,0.000462,3
3,7,24,0.000519,2
3,8,24,0.001080,1
3,9,24,0.000513,3
4,1,24,0.000522,1
4,2,24,0.001534,1
4,3,24,0.000656,2
4,4,24,0.000493,2
4,5,24,0.000513,3
4,6,24,0.000501,4
4,7,24,0.000506,3
4,8,24,0.000495,3
4,9,24,0.000406,3
5,1,24,0.000826,1
5,2,24,0.001731,3
5,3,24,0.000468,4
5,4,24,0.000482,2
5,5,24,0.000581,3
5,6,24,0.000570,2
5,7,24,0.000507,4
5,8,24,0.000497,3
5,9,24,0.000758,3
6,1,24,0.000564,1
6,2,24,0.000496,3
6,3,24,0.000499,3
6,4,24,0.000491,3
6,5,24,0.000505,3
6,6,24,0.000512,3
6,7,24,0.000424,5
6,8,24,0.000408,3
6,9,24,0.000616,4
7,1,24,0.000576,1
7,2,24,0.000615,2
7,3,24,0.000433,4
7,4,24,0.000420,4
7,5,24,0.000418,5
7,6,24,0.000517,5
7,7,24,0.000481,4
7,8,24,0.000816,3
7,9,24,0.000498,3
8,1,24,0.000600,1
8,2,24,0.000495,2
8,3,24,0.000494,5
8,4,24,0.000859,4
8,5,24,0.000457,4
8,6,24,0.000526,5
8,7,24,0.001221,2
8,8,24,0.001210,4
8,9,24,0.000506,4
9,1,24,0.000524,1
9,2,24,0.000719,2
9,3,24,0.000497,4
9,4,24,0.000498,5
9,5,24,0.000703,5
9,6,24,0.000487,5
9,7,24,0.000569,4
9,8,24,0.000483,4
9,9,24,0.000503,4
10,1,24,0.000519,1
10,2,24,0.000501,3
10,3,24,0.000530,4
10,4,24,0.000493,4
10,5,24,0.000562,4
10,6,24,0.000491,4
10,7,24,0.000504,4
10,8,24,0.000749,5
10,9,24,0.000495,5
11,1,24,0.000556,1
11,2,24,0.000391,3
11,3,24,0.000467,5
11,4,24,0.000396,6
11,5,24,0.000425,4
11,6,24,0.000395,3
11,7,24,0.000421,4
11,8,24,0.000510,8
11,9,24,0.000526,4
12,1,24,0.000496,1
12,2,24,0.000522,4
12,3,24,0.000523,4
12,4,24,0.000540,7
12,5,24,0.000547,4
12,6,24,0.000586,7
12,7,24,0.000669,5
12,8,24,0.000468,5
12,9,24,0.001461,5
13,1,24,0.000526,1
13,2,24,0.000596,3
13,3,24,0.001671,4
13,4,24,0.000451,4
13,5,24,0.000781,4
13,6,24,0.000498,6
13,7,24,0.000507,6
13,8,24,0.000612,5
13,9,24,0.000548,6
14,1,24,0.000505,1
14,2,24,0.000534,3
14,3,24,0.000586,4
14,4,24,0.000540,6
14,5,24,0.000509,6
14,6,24,0.000480,6
14,7,24,0.000502,6
14,8,24,0.000623,5
14,9,24,0.000611,5
15,1,24,0.000484,1
15,2,24,0.000477,3
15,3,24,0.000615,6
15,4,24,0.000783,5
15,5,24,0.000827,6
15,6,24,0.000548,7
15,7,24,0.000572,7
15,8,24,0.000485,5
15,9,24,0.000402,7
16,1,24,0.001278,1
16,2,24,0.000484,2
16,3,24,0.000530,4
16,4,24,0.000669,5
16,5,24,0.000601,6
16,6,24,0.000588,6
16,7,24,0.000457,6
16,8,24,0.000754,9
16,9,24,0.000647,5
17,1,24,0.000497,1
17,2,24,0.000420,2
17,3,24,0.000447,4
17,4,24,0.000646,6
17,5,24,0.000485,6
17,6,24,0.000490,7
17,7,24,0.000868,7
17,8,24,0.000520,4
17,9,24,0.000719,7
18,1,24,0.000512,1
18,2,24,0.000622,3
18,3,24,0.000728,5
18,4,24,0.000607,5
18,5,24,0.000502,6
18,6,24,0.000427,6
18,7,24,0.000592,5
18,8,24,0.001546,6
18,9,24,0.000472,7
19,1,24,0.000654,1
19,2,24,0.000491,2
19,3,24,0.000527,4
19,4,24,0.001679,6
19,5,24,0.000464,7
19,6,24,0.000761,7
19,7,24,0.000567,5
19,8,24,0.000658,5
19,9,24,0.000703,6
20,1,24,0.000470,1
20,2,24,0.000497,4
20,3,24,0.000505,5
20,4,24,0.001014,6
20,5,24,0.000773,4
20,6,24,0.001041,5
20,7,24,0.001522,6
20,8,24,0.000508,8
20,9,24,0.000560,7
21,1,24,0.000427,1
21,2,24,0.000572,2
21,3,24,0.000522,6
21,4,24,0.000471,6
21,5,24,0.000516,6
21,6,24,0.000501,7
21,7,24,0.000497,7
21,8,24,0.000485,7
21,9,24,0.000558,7
22,1,24,0.000520,1
22,2,24,0.001197,4
22,3,24,0.000771,6
22,4,24,0.000581,8
22,5,24,0.000585,7
22,6,24,0.000489,6
22,7,24,0.000465,8
22,8,24,0.000495,8
22,9,24,0.000574,6
23,1,24,0.000506,1
23,2,24,0.000493,3
23,3,24,0.000513,6
23,4,24,0.000474,5
23,5,24,0.000504,7
23,6,24,0.000502,8
23,7,24,0.000592,9
23,8,24,0.000504,7
23,9,24,0.000474,8
24,1,24,0.000505,1
24,2,24,0.000470,2
24,3,24,0.001099,5
24,4,24,0.001124,8
24,5,24,0.000577,4
24,6,24,0.000552,7
24,7,24,0.000568,8
24,8,24,0.000508,6
24,9,24,0.000514,5
25,1,24,0.000929,1
25,2,24,0.000960,4
25,3,24,0.000507,5
25,4,24,0.000487,5
25,5,24,0.000539,7
25,6,24,0.000563,6
25,7,24,0.000539,9
25,8,24,0.000605,7
25,9,24,0.000495,7
26,1,24,0.000479,1
26,2,24,0.000528,4
26,3,24,0.000491,6
26,4,24,0.000496,7
26,5,24,0.000511,5
26,6,24,0.000503,5
26,7,24,0.000498,7
26,8,24,0.000681,7
26,9,24,0.000397,6
27,1,24,0.000377,1
27,2,24,0.000444,3
27,3,24,0.000411,7
27,4,24,0.000393,8
27,5,24,0.000619,6
27,6,24,0.000431,7
27,7,24,0.000724,8
27,8,24,0.000615,6
27,9,24,0.000581,7
28,1,24,0.000735,1
28,2,24,0.000506,2
28,3,24,0.000674,6
28,4,24,0.000490,5
28,5,24,0.000596,6
28,6,24,0.000512,7
28,7,24,0.000498,8
28,8,24,0.000502,6
28,9,24,0.000501,8
29,1,24,0.000548,1
29,2,24,0.000452,2
29,3,24,0.000445,7
29,4,24,0.000446,5
29,5,24,0.000502,8
29,6,24,0.000501,8
29,7,24,0.000567,7
29,8,24,0.001328,7
29,9,24,0.000495,7
30,1,24,0.000496,1
30,2,24,0.000496,3
30,3,24,0.000603,5
30,4,24,0.000416,8
30,5,24,0.000604,6
30,6,24,0.000520,9
30,7,24,0.000467,8
30,8,24,0.000499,6
30,9,24,0.000448,7
