n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,1,24,0.001111,1
1000,2,24,0.017443,3
1000,3,24,0.001330,5
1000,4,24,0.001314,9
1000,5,24,0.001280,13
1000,6,24,0.001591,15
1000,7,24,0.001371,16
1000,8,24,0.001566,13
1000,9,24,0.002435,17
1000,10,24,0.001379,17
1000,11,24,0.001411,22
1000,12,24,0.001332,22
1000,13,24,0.001326,20
1000,14,24,0.002345,18
1000,15,24,0.002838,20
1000,16,24,0.027463,23
1000,17,24,0.001820,20
1000,18,24,0.001988,22
1000,19,24,0.004345,22
1000,20,24,0.005015,22
1000,21,24,0.002289,20
1000,22,24,0.009119,22
1000,23,24,0.001415,22
1000,24,24,0.001403,22
1000,25,24,0.005073,20
1000,26,24,0.001632,22
1000,27,24,0.002135,21
1000,28,24,0.001463,24
1000,29,24,0.001479,20
1000,30,24,0.001304,19
1000,31,24,0.014692,22
1000,32,24,0.001420,20
1000,33,24,0.005665,19
1000,34,24,0.001168,18
1000,35,24,0.001723,21
1000,36,24,0.001596,19
1000,37,24,0.007507,19
1000,38,24,0.004744,23
1000,39,24,0.002491,17
1000,40,24,0.001223,17
1000,41,24,0.003487,20
1000,42,24,0.001481,21
1000,43,24,0.002012,19
1000,44,24,0.001403,21
1000,45,24,0.001471,19
1000,46,24,0.002078,20
1000,47,24,0.001455,18
1000,48,24,0.001479,20
1000,49,24,0.008357,21
1000,50,24,0.001743,21
2000,1,24,0.008423,1
2000,2,24,0.016883,4
2000,3,24,0.018546,7
2000,4,24,0.004091,11
2000,5,24,0.004089,14
2000,6,24,0.003646,16
2000,7,24,0.018445,18
2000,8,24,0.014678,18
2000,9,24,0.004618,22
2000,10,24,0.006804,23
2000,11,24,0.004017,20
2000,12,24,0.007002,21
2000,13,24,0.042193,24
2000,14,24,0.003834,22
2000,15,24,0.016388,23
2000,16,24,0.005279,20
2000,17,24,0.004161,22
2000,18,24,0.007282,22
2000,19,24,0.006188,22
2000,20,24,0.006418,22
2000,21,24,0.010289,24
2000,22,24,0.003462,21
2000,23,24,0.029730,22
2000,24,24,0.010249,23
2000,25,24,0.012220,22
2000,26,24,0.004921,23
2000,27,24,0.003793,21
2000,28,24,0.010670,21
2000,29,24,0.019190,23
2000,30,24,0.009214,23
2000,31,24,0.017697,24
2000,32,24,0.018331,21
2000,33,24,0.018295,21
2000,34,24,0.005695,23
2000,35,24,0.007587,21
2000,36,24,0.003784,21
2000,37,24,0.008360,21
2000,38,24,0.015515,23
2000,39,24,0.004451,21
2000,40,24,0.016835,21
2000,41,24,0.013214,22
2000,42,24,0.020890,23
2000,43,24,0.011198,19
2000,44,24,0.015358,24
2000,45,24,0.004401,22
2000,46,24,0.004679,21
2000,47,24,0.004062,21
2000,48,24,0.003727,22
2000,49,24,0.030129,19
2000,50,24,0.004300,22
3000,1,24,0.023184,1
3000,2,24,0.013955,2
3000,3,24,0.039664,6
3000,4,24,0.024121,7
3000,5,24,0.050124,17
3000,6,24,0.008486,16
3000,7,24,0.051981,19
3000,8,24,0.015248,19
3000,9,24,0.019345,22
3000,10,24,0.015619,22
3000,11,24,0.033654,22
3000,12,24,0.032267,23
3000,13,24,0.029379,18
3000,14,24,0.043051,24
3000,15,24,0.017869,20
3000,16,24,0.030003,24
3000,17,24,0.029728,22
3000,18,24,0.009325,23
3000,19,24,0.017579,24
3000,20,24,0.017976,21
3000,21,24,0.011619,22
3000,22,24,0.039728,21
3000,23,24,0.038218,22
3000,24,24,0.045036,21
3000,25,24,0.049208,23
3000,26,24,0.053713,20
3000,27,24,0.033297,24
3000,28,24,0.028674,23
3000,29,24,0.024664,21
3000,30,24,0.024623,23
3000,31,24,0.020250,21
3000,32,24,0.024076,23
3000,33,24,0.030536,23
3000,34,24,0.024940,22
3000,35,24,0.060230,24
3000,36,24,0.027521,22
3000,37,24,0.035291,24
3000,38,24,0.055278,20
3000,39,24,0.019792,24
3000,40,24,0.027789,23
3000,41,24,0.019855,23
3000,42,24,0.026324,21
3000,43,24,0.030673,24
3000,44,24,0.017952,24
3000,45,24,0.016502,22
3000,46,24,0.034899,23
3000,47,24,0.027505,23
3000,48,24,0.047178,21
3000,49,24,0.031629,23
3000,50,24,0.030456,21
4000,1,24,0.039900,1
4000,2,24,0.030621,4
4000,3,24,0.046135,7
4000,4,24,0.035547,13
4000,5,24,0.067612,10
4000,6,24,0.031156,17
4000,7,24,0.057975,18
4000,8,24,0.037952,21
4000,9,24,0.039432,23
4000,10,24,0.054626,20
4000,11,24,0.054587,15
4000,12,24,0.070896,23
4000,13,24,0.023512,20
4000,14,24,0.041268,23
4000,15,24,0.035489,21
4000,16,24,0.027381,21
4000,17,24,0.069637,22
4000,18,24,0.073387,22
4000,19,24,0.046177,22
4000,20,24,0.062448,24
4000,21,24,0.027961,21
4000,22,24,0.091107,23
4000,23,24,0.038273,24
4000,24,24,0.070940,24
4000,25,24,0.043553,24
4000,26,24,0.037180,23
4000,27,24,0.035051,22
4000,28,24,0.044300,20
4000,29,24,0.040437,22
4000,30,24,0.064096,22
4000,31,24,0.057898,23
4000,32,24,0.083572,24
4000,33,24,0.030535,21
4000,34,24,0.053819,21
4000,35,24,0.020007,22
4000,36,24,0.046033,24
4000,37,24,0.065588,24
4000,38,24,0.044380,22
4000,39,24,0.064939,22
4000,40,24,0.048154,23
4000,41,24,0.038416,21
4000,42,24,0.047374,23
4000,43,24,0.032166,23
4000,44,24,0.052275,23
4000,45,24,0.033173,23
4000,46,24,0.044083,24
4000,47,24,0.068076,24
4000,48,24,0.054907,22
4000,49,24,0.051964,23
4000,50,24,0.041029,24
5000,1,24,0.057676,1
5000,2,24,0.076261,4
5000,3,24,0.074702,5
5000,4,24,0.085360,9
5000,5,24,0.133685,16
5000,6,24,0.057217,20
5000,7,24,0.079762,22
5000,8,24,0.093611,13
5000,9,24,0.068698,22
5000,10,24,0.050181,22
5000,11,24,0.073439,21
5000,12,24,0.076418,22
5000,13,24,0.067432,20
5000,14,24,0.077181,24
5000,15,24,0.098601,24
5000,16,24,0.119599,23
5000,17,24,0.052592,24
5000,18,24,0.062851,23
5000,19,24,0.090001,23
5000,20,24,0.064525,20
5000,21,24,0.078010,21
5000,22,24,0.084860,22
5000,23,24,0.071487,20
