n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,20,24,0.002949,24
1000,20,24,0.001590,22
1000,20,24,0.010101,21
1000,20,24,0.001399,14
1000,20,24,0.001103,6
1000,20,24,0.001359,5
1000,20,24,0.006112,4
1000,20,24,0.000915,4
1000,20,24,0.000946,3
1000,20,24,0.001451,3
1000,20,24,0.001285,3
1000,20,24,0.001109,2
2000,20,24,0.013384,24
2000,20,24,0.005818,24
2000,20,24,0.014251,24
2000,20,24,0.003801,13
2000,20,24,0.007780,7
2000,20,24,0.003341,6
2000,20,24,0.002648,4
2000,20,24,0.002586,4
2000,20,24,0.010869,3
2000,20,24,0.003068,3
2000,20,24,0.005011,3
2000,20,24,0.014471,3
3000,20,24,0.022208,23
3000,20,24,0.009562,23
3000,20,24,0.025208,23
3000,20,24,0.007644,18
3000,20,24,0.014261,8
3000,20,24,0.017138,5
3000,20,24,0.035690,4
3000,20,24,0.016041,4
3000,20,24,0.020899,4
3000,20,24,0.016058,3
3000,20,24,0.030629,3
3000,20,24,0.014577,3
4000,20,24,0.033005,24
4000,20,24,0.015234,21
4000,20,24,0.022249,23
4000,20,24,0.025923,16
4000,20,24,0.026247,10
4000,20,24,0.029922,5
4000,20,24,0.043916,5
4000,20,24,0.039610,4
4000,20,24,0.038954,3
4000,20,24,0.050057,3
4000,20,24,0.025499,3
4000,20,24,0.051704,3
5000,20,24,0.061591,24
5000,20,24,0.060334,24
5000,20,24,0.042812,22
5000,20,24,0.078729,17
5000,20,24,0.019399,9
5000,20,24,0.020249,6
5000,20,24,0.037947,4
5000,20,24,0.050251,4
5000,20,24,0.063693,3
5000,20,24,0.050156,3
5000,20,24,0.038599,3
5000,20,24,0.066845,3
6000,20,24,0.067740,24
6000,20,24,0.059577,23
6000,20,24,0.149425,21
6000,20,24,0.063537,20
6000,20,24,0.098932,11
6000,20,24,0.042683,5
6000,20,24,0.032136,5
6000,20,24,0.083374,4
6000,20,24,0.029498,3
6000,20,24,0.040217,3
6000,20,24,0.054292,3
6000,20,24,0.037134,3
7000,20,24,0.126825,24
7000,20,24,0.110734,23
7000,20,24,0.072766,22
7000,20,24,0.124038,16
7000,20,24,0.065181,9
7000,20,24,0.060940,5
7000,20,24,0.112401,5
7000,20,24,0.101410,3
7000,20,24,0.056323,3
7000,20,24,0.093988,3
7000,20,24,0.094942,3
7000,20,24,0.085955,3
8000,20,24,0.114377,24
8000,20,24,0.114817,24
8000,20,24,0.118725,21
8000,20,24,0.114667,19
8000,20,24,0.085384,10
8000,20,24,0.085884,7
8000,20,24,0.132013,5
8000,20,24,0.148905,4
8000,20,24,0.099650,3
8000,20,24,0.125190,3
8000,20,24,0.144393,3
8000,20,24,0.105546,2
9000,20,24,0.125991,24
9000,20,24,0.196557,22
9000,20,24,0.192735,23
9000,20,24,0.203017,17
9000,20,24,0.209157,11
9000,20,24,0.125741,5
9000,20,24,0.146118,4
9000,20,24,0.087230,4
9000,20,24,0.111343,3
9000,20,24,0.172947,3
9000,20,24,0.170709,3
9000,20,24,0.127417,3
10000,20,24,0.295997,24
10000,20,24,0.162026,23
10000,20,24,0.210671,24
