n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,1,23,0.000002,1
1000,2,20,0.000003,3
1000,3,19,0.000005,5
1000,4,13,0.000008,9
1000,5,5,0.000010,16
1000,6,0,0.000013,22
1000,7,1,0.000014,20
1000,8,0,0.000013,20
1000,9,0,0.000014,21
1000,10,0,0.000012,23
1000,11,0,0.000014,24
1000,12,1,0.000015,22
1000,13,0,0.000015,22
1000,14,0,0.000014,20
1000,15,0,0.000013,23
1000,16,0,0.000013,23
1000,17,0,0.000014,22
1000,18,0,0.000013,23
1000,19,1,0.000015,23
1000,20,0,0.000013,24
1000,21,0,0.000014,21
1000,22,0,0.000013,23
1000,23,1,0.000066,23
1000,24,1,0.000015,23
1000,25,0,0.000013,21
1000,26,0,0.000013,23
1000,27,0,0.000013,24
1000,28,0,0.000014,24
1000,29,0,0.000013,23
1000,30,1,0.000014,21
1000,31,0,0.000014,23
1000,32,0,0.000013,24
1000,33,0,0.000015,21
1000,34,0,0.000016,22
1000,35,0,0.000012,23
1000,36,0,0.000012,22
1000,37,1,0.000013,21
1000,38,0,0.000012,24
1000,39,2,0.000015,21
1000,40,0,0.000013,18
1000,41,1,0.000014,22
1000,42,0,0.000013,24
1000,43,1,0.000013,19
1000,44,0,0.000014,23
1000,45,1,0.000015,22
1000,46,0,0.000016,21
1000,47,0,0.000013,22
1000,48,0,0.000013,24
1000,49,0,0.000012,22
1000,50,0,0.000013,24
2000,1,23,0.000003,1
2000,2,20,0.000005,4
2000,3,17,0.000008,7
2000,4,13,0.000011,11
2000,5,6,0.000017,18
2000,6,3,0.000018,20
2000,7,0,0.000023,23
2000,8,0,0.000025,23
2000,9,1,0.000023,23
2000,10,0,0.000024,23
2000,11,0,0.000022,24
2000,12,0,0.000022,24
2000,13,0,0.000021,24
2000,14,0,0.000024,24
2000,15,0,0.000021,24
2000,16,0,0.000022,23
2000,17,0,0.000020,23
2000,18,0,0.000024,24
2000,19,0,0.000021,24
2000,20,0,0.000021,24
2000,21,0,0.000021,24
2000,22,0,0.000021,24
2000,23,0,0.000023,24
2000,24,0,0.000023,24
2000,25,0,0.000021,24
2000,26,0,0.000022,24
2000,27,0,0.000021,24
2000,28,0,0.000023,24
2000,29,0,0.000023,24
2000,30,0,0.000020,24
2000,31,0,0.000021,24
2000,32,0,0.000020,23
2000,33,0,0.000022,24
2000,34,0,0.000024,24
2000,35,0,0.000022,24
2000,36,0,0.000022,24
2000,37,0,0.000022,23
2000,38,0,0.000022,24
2000,39,0,0.000022,24
2000,40,0,0.000021,24
2000,41,0,0.000022,24
2000,42,0,0.000021,24
2000,43,0,0.000021,24
2000,44,0,0.000027,24
2000,45,0,0.000021,24
2000,46,0,0.000021,24
2000,47,0,0.000022,24
2000,48,0,0.000021,24
2000,49,0,0.000025,24
2000,50,0,0.000021,24
3000,1,23,0.000003,1
3000,2,22,0.000004,2
3000,3,18,0.000009,6
3000,4,17,0.000012,7
3000,5,7,0.000023,17
3000,6,6,0.000022,17
3000,7,0,0.000033,24
3000,8,0,0.000045,23
3000,9,0,0.000033,24
3000,10,0,0.000029,24
3000,11,0,0.000031,24
3000,12,0,0.000030,24
3000,13,0,0.000034,24
3000,14,0,0.000033,24
3000,15,0,0.000031,24
3000,16,0,0.000030,24
3000,17,0,0.000030,24
3000,18,0,0.000030,24
3000,19,0,0.000030,24
3000,20,0,0.000029,24
3000,21,0,0.000029,24
3000,22,0,0.000029,24
3000,23,0,0.000034,24
3000,24,0,0.000030,24
3000,25,0,0.000029,24
3000,26,0,0.000029,24
3000,27,0,0.000030,24
3000,28,0,0.000082,24
3000,29,0,0.000030,24
3000,30,0,0.000029,24
3000,31,0,0.000028,24
3000,32,0,0.000033,24
3000,33,0,0.000029,24
3000,34,0,0.000030,24
3000,35,0,0.000030,24
3000,36,0,0.000029,24
3000,37,0,0.000032,24
3000,38,0,0.000029,24
3000,39,0,0.000029,24
3000,40,0,0.000029,24
3000,41,0,0.000044,24
3000,42,0,0.000031,24
3000,43,0,0.000029,24
3000,44,0,0.000030,24
3000,45,0,0.000029,24
3000,46,0,0.000031,24
3000,47,0,0.000031,24
3000,48,0,0.000030,24
3000,49,0,0.000029,24
3000,50,0,0.000029,24
4000,1,23,0.000005,1
4000,2,20,0.000006,4
4000,3,17,0.000013,7
4000,4,11,0.000023,13
4000,5,11,0.000022,13
4000,6,1,0.000037,22
4000,7,0,0.000039,24
4000,8,0,0.000041,24
4000,9,0,0.000039,24
4000,10,0,0.000043,24
4000,11,0,0.000043,24
4000,12,0,0.000038,24
4000,13,0,0.000040,24
4000,14,0,0.000042,24
4000,15,0,0.000038,24
4000,16,0,0.000039,24
4000,17,0,0.000038,24
4000,18,0,0.000041,24
4000,19,0,0.000038,24
4000,20,0,0.000037,24
4000,21,0,0.000038,24
4000,22,0,0.000044,24
4000,23,0,0.000040,24
4000,24,0,0.000038,24
4000,25,0,0.000037,24
4000,26,0,0.000041,24
4000,27,0,0.000044,24
4000,28,0,0.000040,24
4000,29,0,0.000038,24
4000,30,0,0.000037,24
4000,31,0,0.000041,24
4000,32,0,0.000037,24
4000,33,0,0.000037,24
4000,34,0,0.000049,24
4000,35,0,0.000057,24
4000,36,0,0.000049,24
4000,37,0,0.000038,24
4000,38,0,0.000038,24
4000,39,0,0.000039,24
4000,40,0,0.000038,24
4000,41,0,0.000038,24
4000,42,0,0.000037,24
4000,43,0,0.000051,24
4000,44,0,0.000038,24
4000,45,0,0.000036,24
4000,46,0,0.000049,24
4000,47,0,0.000042,24
4000,48,0,0.000038,24
4000,49,0,0.000037,24
4000,50,0,0.000038,24
5000,1,23,0.000007,1
5000,2,20,0.000007,4
5000,3,19,0.000011,5
5000,4,15,0.000019,9
5000,5,4,0.000036,19
5000,6,3,0.000041,21
5000,7,0,0.000050,24
