n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1000,20,0,0.000011,24
1000,20,0,0.000012,24
1000,20,0,0.000013,21
1000,20,1,0.000028,16
1000,20,0,0.000014,8
1000,20,1,0.000013,7
1000,20,2,0.000034,6
1000,20,1,0.000011,5
1000,20,0,0.000009,4
1000,20,1,0.000008,3
1000,20,2,0.000009,3
1000,20,3,0.000011,3
2000,20,0,0.000019,24
2000,20,0,0.000022,24
2000,20,0,0.000022,24
2000,20,0,0.000024,15
2000,20,1,0.000024,9
2000,20,0,0.000023,7
2000,20,1,0.000022,6
2000,20,0,0.000020,5
2000,20,2,0.000019,4
2000,20,0,0.000049,4
2000,20,5,0.000020,3
2000,20,2,0.000019,3
3000,20,0,0.000026,24
3000,20,0,0.000031,24
3000,20,0,0.000033,24
3000,20,1,0.000036,19
3000,20,0,0.000044,11
3000,20,0,0.000027,7
3000,20,3,0.000033,6
3000,20,3,0.000030,5
3000,20,0,0.000021,5
3000,20,0,0.000017,4
3000,20,4,0.000029,3
3000,20,4,0.000028,3
4000,20,0,0.000033,24
4000,20,0,0.000039,24
4000,20,0,0.000038,24
4000,20,0,0.000040,18
4000,20,1,0.000047,13
4000,20,0,0.000036,8
4000,20,0,0.000034,6
4000,20,0,0.000028,6
4000,20,0,0.000042,4
4000,20,1,0.000029,4
4000,20,7,0.000052,3
4000,20,3,0.000030,3
5000,20,0,0.000041,24
5000,20,0,0.000048,24
5000,20,0,0.000047,24
5000,20,1,0.000053,18
5000,20,0,0.000049,13
5000,20,2,0.000051,8
5000,20,2,0.000048,6
5000,20,1,0.000042,5
5000,20,2,0.000042,4
5000,20,2,0.000038,4
5000,20,1,0.000026,3
5000,20,4,0.000040,3
6000,20,0,0.000051,24
6000,20,0,0.000060,24
6000,20,0,0.000105,24
6000,20,0,0.000057,21
6000,20,0,0.000061,13
6000,20,1,0.000056,7
6000,20,1,0.000051,7
6000,20,2,0.000056,5
6000,20,5,0.000150,4
6000,20,0,0.000039,4
6000,20,6,0.000070,3
6000,20,4,0.000048,3
7000,20,0,0.000056,24
7000,20,0,0.000064,24
7000,20,0,0.000066,24
7000,20,0,0.000065,20
7000,20,1,0.000080,11
7000,20,0,0.000066,8
7000,20,3,0.000068,6
7000,20,1,0.000056,5
7000,20,1,0.000050,4
7000,20,1,0.000059,4
7000,20,0,0.000030,4
7000,20,0,0.000034,3
8000,20,0,0.000063,24
8000,20,0,0.000091,24
8000,20,0,0.000072,24
8000,20,0,0.000074,22
8000,20,2,0.000086,12
8000,20,1,0.000072,8
8000,20,0,0.000066,6
8000,20,1,0.000064,5
8000,20,4,0.000072,4
8000,20,0,0.000051,4
8000,20,5,0.000068,3
8000,20,1,0.000160,3
9000,20,0,0.000067,24
9000,20,0,0.000084,24
9000,20,0,0.000082,24
9000,20,0,0.000083,20
9000,20,0,0.000093,13
9000,20,0,0.000083,8
9000,20,3,0.000087,6
9000,20,1,0.000070,5
9000,20,0,0.000053,5
9000,20,2,0.000077,4
9000,20,0,0.000038,3
9000,20,2,0.000052,3
10000,20,0,0.000074,24
10000,20,0,0.000092,24
10000,20,0,0.000086,24
10000,20,0,0.000089,22
10000,20,2,0.000113,13
10000,20,0,0.000079,9
10000,20,1,0.000082,6
10000,20,1,0.000077,5
10000,20,0,0.000054,5
10000,20,3,0.000084,4
10000,20,1,0.000057,4
10000,20,0,0.000050,3
11000,20,0,0.000086,24
11000,20,0,0.000122,24
11000,20,0,0.000103,24
11000,20,0,0.000096,24
11000,20,2,0.000189,12
11000,20,1,0.000095,8
11000,20,0,0.000083,7
11000,20,1,0.000088,5
11000,20,5,0.000107,4
11000,20,1,0.000075,4
11000,20,2,0.000064,3
11000,20,0,0.000055,3
12000,20,0,0.000092,24
12000,20,0,0.000105,24
12000,20,0,0.000106,24
12000,20,0,0.000105,23
12000,20,1,0.000116,12
12000,20,1,0.000115,8
12000,20,1,0.000116,7
12000,20,2,0.000098,5
12000,20,2,0.000084,4
12000,20,2,0.000087,4
12000,20,0,0.000048,3
12000,20,3,0.000076,3
13000,20,0,0.000102,24
13000,20,0,0.000116,24
13000,20,0,0.000114,24
13000,20,0,0.000118,24
13000,20,0,0.000115,13
13000,20,0,0.000103,9
13000,20,2,0.000110,6
13000,20,0,0.000093,5
13000,20,0,0.000071,5
13000,20,0,0.000080,4
13000,20,6,0.000113,3
13000,20,2,0.000077,3
14000,20,0,0.000108,24
14000,20,0,0.000167,24
14000,20,0,0.000119,24
14000,20,0,0.000121,22
14000,20,2,0.000147,12
14000,20,1,0.000125,9
14000,20,0,0.000120,6
14000,20,2,0.000112,5
14000,20,3,0.000110,4
14000,20,1,0.000080,4
14000,20,6,0.000123,3
14000,20,2,0.000074,3
15000,20,0,0.000157,24
15000,20,0,0.000135,24
15000,20,0,0.000129,24
15000,20,0,0.000122,24
15000,20,0,0.000140,14
15000,20,1,0.000245,9
15000,20,2,0.000151,6
15000,20,2,0.000120,5
15000,20,1,0.000093,4
15000,20,2,0.000104,4
15000,20,0,0.000075,4
15000,20,3,0.000097,3
16000,20,0,0.000124,24
16000,20,0,0.000139,24
16000,20,0,0.000139,24
16000,20,0,0.000161,24
16000,20,1,0.000150,13
16000,20,1,0.000152,9
16000,20,0,0.000117,7
16000,20,0,0.000103,6
16000,20,1,0.000237,4
16000,20,1,0.000106,4
16000,20,7,0.000146,3
16000,20,4,0.000135,3
17000,20,0,0.000253,24
17000,20,0,0.000153,24
17000,20,0,0.000147,24
17000,20,0,0.000145,24
17000,20,0,0.000147,13
17000,20,0,0.000191,9
17000,20,1,0.000132,6
17000,20,0,0.000268,6
17000,20,0,0.000096,5
17000,20,2,0.000125,4
17000,20,8,0.000189,3
17000,20,2,0.000096,3
18000,20,0,0.000137,24
18000,20,0,0.000158,24
18000,20,0,0.000227,24
18000,20,0,0.000150,23
18000,20,1,0.001271,12
18000,20,0,0.000142,9
18000,20,0,0.000127,7
18000,20,1,0.000134,5
18000,20,3,0.000136,4
18000,20,1,0.000114,4
18000,20,0,0.000071,4
18000,20,4,0.000128,3
19000,20,0,0.000141,24
19000,20,0,0.000166,24
19000,20,0,0.000160,24
19000,20,0,0.000164,24
19000,20,0,0.000172,14
19000,20,1,0.000157,9
19000,20,0,0.000135,7
19000,20,0,0.000262,5
19000,20,5,0.000169,4
19000,20,2,0.000136,4
19000,20,5,0.000148,3
19000,20,2,0.000098,3
20000,20,0,0.000165,24
20000,20,0,0.000174,24
20000,20,0,0.000208,24
20000,20,0,0.000164,24
20000,20,0,0.000171,14
20000,20,0,0.000161,9
20000,20,2,0.000192,7
20000,20,1,0.000149,5
20000,20,3,0.000145,4
20000,20,1,0.000125,4
20000,20,0,0.000075,4
20000,20,4,0.000134,3
21000,20,0,0.000167,24
21000,20,0,0.000183,24
21000,20,0,0.000243,24
21000,20,0,0.000175,24
21000,20,2,0.000234,15
21000,20,0,0.000161,9
21000,20,0,0.000145,7
21000,20,1,0.000153,5
21000,20,1,0.000128,4
21000,20,3,0.000160,4
21000,20,0,0.000098,4
21000,20,6,0.000195,3
22000,20,0,0.000162,24
22000,20,0,0.000224,24
22000,20,0,0.000174,24
22000,20,0,0.000178,24
22000,20,1,0.000479,14
22000,20,1,0.000179,9
22000,20,3,0.000235,6
22000,20,3,0.000279,5
22000,20,0,0.000122,5
22000,20,2,0.000147,4
22000,20,0,0.000082,4
22000,20,6,0.000193,3
23000,20,0,0.000180,24
23000,20,0,0.000191,24
23000,20,0,0.000200,24
23000,20,0,0.000199,24
23000,20,0,0.000193,15
23000,20,1,0.000221,9
23000,20,1,0.000166,7
23000,20,3,0.000201,6
23000,20,0,0.000116,5
23000,20,0,0.000136,4
23000,20,0,0.000086,4
23000,20,0,0.000108,3
24000,20,0,0.000174,24
24000,20,0,0.000213,24
24000,20,0,0.000197,24
24000,20,0,0.000193,24
24000,20,0,0.000195,12
24000,20,1,0.000217,9
24000,20,1,0.000177,6
24000,20,4,0.000222,5
24000,20,3,0.000171,4
24000,20,3,0.000588,4
24000,20,0,0.000109,4
24000,20,4,0.000165,3
25000,20,0,0.000225,24
25000,20,0,0.000222,24
25000,20,0,0.000210,24
25000,20,0,0.000204,24
25000,20,1,0.000225,13
25000,20,1,0.000274,9
25000,20,2,0.000206,7
25000,20,6,0.000284,5
25000,20,1,0.000159,4
25000,20,2,0.000186,4
25000,20,1,0.000104,3
25000,20,3,0.000141,3
26000,20,0,0.000202,24
26000,20,0,0.000227,24
26000,20,0,0.000230,24
26000,20,0,0.000224,24
26000,20,1,0.000254,14
26000,20,0,0.000209,9
26000,20,3,0.000254,6
26000,20,1,0.000174,6
26000,20,0,0.000155,5
26000,20,2,0.000193,4
26000,20,4,0.000177,3
26000,20,6,0.000246,3
27000,20,0,0.000198,24
27000,20,0,0.000268,24
27000,20,0,0.000280,24
27000,20,0,0.000223,24
27000,20,1,0.000247,13
27000,20,1,0.000217,9
27000,20,0,0.000189,7
27000,20,0,0.000218,5
27000,20,0,0.000149,5
27000,20,2,0.000201,4
27000,20,6,0.000217,3
27000,20,0,0.000114,3
28000,20,0,0.000203,24
28000,20,0,0.000281,24
28000,20,0,0.000224,24
28000,20,0,0.000242,24
28000,20,0,0.000243,14
28000,20,0,0.000216,9
28000,20,0,0.000222,7
28000,20,0,0.000259,6
28000,20,0,0.000144,5
28000,20,1,0.000210,4
28000,20,6,0.000229,3
28000,20,7,0.000256,3
29000,20,0,0.000211,24
29000,20,0,0.000240,24
29000,20,0,0.000280,24
29000,20,0,0.000230,24
29000,20,1,0.000265,14
29000,20,0,0.000209,9
29000,20,1,0.000244,7
29000,20,1,0.000204,5
29000,20,1,0.000191,5
29000,20,2,0.000196,4
29000,20,0,0.000143,4
29000,20,4,0.000235,3
30000,20,0,0.000225,24
30000,20,0,0.000280,24
30000,20,0,0.000251,24
30000,20,0,0.000241,24
30000,20,1,0.000337,15
30000,20,0,0.000229,10
30000,20,0,0.000207,7
30000,20,0,0.000229,6
30000,20,3,0.000233,4
30000,20,2,0.000200,4
30000,20,0,0.000110,4
30000,20,1,0.000144,3
31000,20,0,0.000221,24
31000,20,0,0.000314,24
31000,20,0,0.000317,24
31000,20,0,0.000289,24
31000,20,0,0.000356,16
31000,20,0,0.000647,9
31000,20,0,0.000205,7
31000,20,0,0.000183,6
31000,20,1,0.000176,4
31000,20,3,0.000216,4
31000,20,0,0.000114,3
31000,20,3,0.000191,3
32000,20,0,0.000232,24
32000,20,0,0.000322,24
32000,20,0,0.000252,24
32000,20,0,0.000252,24
32000,20,1,0.000273,14
32000,20,0,0.000237,9
32000,20,1,0.000254,7
32000,20,2,0.000295,5
32000,20,1,0.000206,5
32000,20,1,0.000181,4
32000,20,0,0.000119,4
32000,20,3,0.000189,3
33000,20,0,0.000245,24
33000,20,0,0.000285,24
33000,20,0,0.000267,24
33000,20,0,0.000265,24
33000,20,0,0.000269,15
33000,20,0,0.000245,9
33000,20,0,0.000240,7
33000,20,0,0.000201,6
33000,20,3,0.000363,4
33000,20,0,0.000208,4
33000,20,0,0.000123,4
33000,20,5,0.000235,3
34000,20,0,0.000247,24
34000,20,0,0.000286,24
34000,20,0,0.000385,24
34000,20,0,0.000338,24
34000,20,0,0.000272,14
34000,20,1,0.000286,9
34000,20,2,0.000276,7
34000,20,2,0.000249,5
34000,20,2,0.000212,4
34000,20,2,0.000271,4
34000,20,0,0.000117,4
34000,20,4,0.000226,3
35000,20,0,0.000247,24
35000,20,0,0.000298,24
35000,20,0,0.000275,24
35000,20,0,0.000334,24
35000,20,0,0.000309,16
35000,20,3,0.000332,9
35000,20,1,0.000281,7
35000,20,0,0.000252,5
35000,20,2,0.000233,5
35000,20,2,0.000245,4
35000,20,0,0.000165,4
35000,20,2,0.000250,3
36000,20,0,0.000259,24
36000,20,0,0.000334,24
36000,20,0,0.000291,24
36000,20,0,0.000293,24
36000,20,0,0.000294,14
36000,20,0,0.000274,10
36000,20,0,0.000250,7
36000,20,1,0.000273,5
36000,20,0,0.000193,5
36000,20,0,0.000196,4
36000,20,1,0.000149,3
36000,20,2,0.000184,3
37000,20,0,0.000281,24
37000,20,0,0.000308,24
37000,20,0,0.000292,24
37000,20,0,0.000302,24
37000,20,0,0.000295,14
37000,20,1,0.000283,9
37000,20,2,0.000482,7
37000,20,1,0.000241,5
37000,20,1,0.000235,4
37000,20,0,0.000218,4
37000,20,0,0.000132,4
37000,20,2,0.000198,3
38000,20,0,0.000284,24
38000,20,0,0.000319,24
38000,20,0,0.000296,24
38000,20,0,0.000352,24
38000,20,2,0.000361,12
38000,20,2,0.000324,10
38000,20,1,0.000313,7
38000,20,0,0.000241,6
38000,20,1,0.000224,5
38000,20,0,0.000210,4
38000,20,0,0.000135,4
38000,20,1,0.000170,3
39000,20,0,0.000275,24
39000,20,0,0.000334,24
39000,20,0,0.000329,24
39000,20,0,0.000319,24
39000,20,1,0.000368,13
39000,20,2,0.000334,9
39000,20,1,0.000293,7
39000,20,0,0.000277,6
39000,20,2,0.000287,5
39000,20,3,0.000287,4
39000,20,1,0.000205,4
39000,20,2,0.000547,3
40000,20,0,0.000292,24
40000,20,0,0.000341,24
40000,20,0,0.000332,24
40000,20,0,0.000310,24
40000,20,2,0.000396,12
40000,20,1,0.000336,9
40000,20,0,0.000500,7
40000,20,0,0.000255,6
40000,20,0,0.000209,5
40000,20,1,0.000248,4
40000,20,0,0.000153,4
40000,20,3,0.000230,3
41000,20,0,0.000295,24
41000,20,0,0.000382,24
41000,20,0,0.000390,24
41000,20,0,0.000356,24
41000,20,0,0.000365,17
41000,20,0,0.000291,10
41000,20,0,0.000295,7
41000,20,4,0.000504,5
41000,20,0,0.000292,5
41000,20,0,0.000295,4
41000,20,0,0.000149,4
41000,20,0,0.000185,3
42000,20,0,0.000297,24
42000,20,0,0.000580,24
42000,20,0,0.000333,24
42000,20,0,0.000373,24
42000,20,0,0.000345,14
42000,20,0,0.000298,10
42000,20,0,0.000317,7
42000,20,3,0.000350,5
42000,20,0,0.000214,4
42000,20,4,0.000344,4
42000,20,0,0.000152,4
42000,20,2,0.000228,3
43000,20,0,0.000317,24
43000,20,0,0.000394,24
43000,20,0,0.000341,24
43000,20,0,0.000403,24
43000,20,0,0.000408,15
43000,20,1,0.000402,10
43000,20,0,0.000348,7
43000,20,1,0.000341,6
43000,20,0,0.000237,5
43000,20,1,0.000389,4
43000,20,0,0.000153,3
43000,20,1,0.000177,3
44000,20,0,0.000483,24
44000,20,0,0.000357,24
44000,20,0,0.000344,24
44000,20,0,0.000414,24
44000,20,0,0.000474,16
44000,20,0,0.000334,9
44000,20,2,0.000383,7
44000,20,0,0.000268,6
44000,20,0,0.000257,5
44000,20,2,0.000340,4
44000,20,0,0.000174,4
44000,20,1,0.000198,3
45000,20,0,0.000317,24
45000,20,0,0.000369,24
45000,20,0,0.000360,24
45000,20,0,0.000365,24
45000,20,1,0.000378,15
45000,20,0,0.000365,9
45000,20,2,0.000403,7
45000,20,0,0.000291,6
45000,20,0,0.000373,5
45000,20,2,0.000295,4
45000,20,0,0.000216,4
45000,20,5,0.000342,3
46000,20,0,0.000357,24
46000,20,0,0.000445,24
46000,20,0,0.000416,24
46000,20,0,0.000372,24
46000,20,0,0.000415,15
46000,20,2,0.000517,10
46000,20,0,0.000397,7
46000,20,4,0.000494,5
46000,20,0,0.000237,5
46000,20,3,0.000336,4
46000,20,2,0.000216,3
46000,20,3,0.000278,3
47000,20,0,0.000343,24
47000,20,0,0.000477,24
47000,20,0,0.000416,24
47000,20,0,0.000370,24
47000,20,0,0.000581,14
47000,20,0,0.000341,10
47000,20,3,0.000420,7
