n_filmes,n_categorias,t_restante,t_execucao,v_filmes
1,1,0,0.000127,0
1,2,0,0.000125,0
1,3,0,0.000182,0
1,4,0,0.000160,0
1,5,0,0.000131,0
1,6,0,0.000185,0
1,7,0,0.000196,0
1,8,0,0.000126,0
1,9,0,0.000183,0
2,1,0,0.000123,0
2,2,0,0.000126,1
2,3,0,0.000183,0
2,4,0,0.000124,1
2,5,0,0.000125,0
2,6,0,0.000128,1
2,7,0,0.000092,1
2,8,0,0.000125,1
2,9,0,0.000142,0
3,1,0,0.000196,0
3,2,0,0.000092,1
3,3,0,0.000126,1
3,4,0,0.000163,2
3,5,0,0.000091,1
3,6,0,0.000191,2
3,7,0,0.000125,1
3,8,0,0.000186,0
3,9,0,0.000183,1
4,1,0,0.000125,0
4,2,0,0.000124,1
4,3,0,0.000129,2
4,4,0,0.000126,2
4,5,0,0.000127,2
4,6,0,0.000109,3
4,7,0,0.000186,1
4,8,0,0.000125,1
4,9,0,0.000125,1
5,1,0,0.000125,1
5,2,0,0.000129,1
5,3,0,0.000136,2
5,4,0,0.000126,1
5,5,0,0.000125,2
5,6,0,0.000202,3
5,7,0,0.000126,2
5,8,0,0.000212,3
5,9,0,0.000145,4
6,1,0,0.000130,1
6,2,0,0.000168,1
6,3,0,0.000125,1
6,4,0,0.000193,1
6,5,0,0.000126,5
6,6,0,0.000167,2
6,7,0,0.000127,3
6,8,0,0.000177,3
6,9,0,0.000127,3
7,1,0,0.000130,1
7,2,0,0.000194,1
7,3,0,0.000201,3
7,4,0,0.000130,0
7,5,0,0.000205,3
7,6,0,0.000196,2
7,7,0,0.000137,1
7,8,0,0.000129,2
7,9,0,0.000129,2
8,1,0,0.000133,1
8,2,0,0.000133,2
8,3,0,0.000131,3
8,4,0,0.000205,1
8,5,0,0.000196,1
8,6,0,0.000135,4
8,7,0,0.000198,3
8,8,0,0.000198,4
8,9,0,0.000111,3
9,1,0,0.000214,1
9,2,0,0.000143,1
9,3,0,0.000144,1
9,4,0,0.000145,2
9,5,0,0.000144,2
9,6,0,0.000144,3
9,7,0,0.000111,3
9,8,0,0.000208,3
9,9,0,0.000231,5
10,1,0,0.000233,0
10,2,0,0.000173,2
10,3,0,0.000175,2
10,4,0,0.000162,2
10,5,0,0.000162,2
10,6,0,0.000163,3
10,7,0,0.000173,4
10,8,0,0.000230,4
10,9,0,0.000160,6
11,1,0,0.000199,0
11,2,0,0.000216,1
11,3,0,0.000202,1
11,4,0,0.000200,2
11,5,0,0.000265,2
11,6,0,0.000211,5
11,7,0,0.000165,3
11,8,0,0.000221,5
11,9,0,0.000282,3
12,1,0,0.000280,1
12,2,0,0.000282,1
12,3,0,0.000282,1
12,4,0,0.000288,3
12,5,0,0.000280,2
12,6,0,0.000274,3
12,7,0,0.000279,3
12,8,0,0.000282,6
12,9,0,0.000359,6
13,1,0,0.000435,0
13,2,0,0.000424,1
13,3,0,0.000495,1
13,4,0,0.000447,3
13,5,0,0.000405,4
13,6,0,0.000440,4
13,7,0,0.000508,4
13,8,0,0.000541,6
13,9,0,0.000433,3
14,1,0,0.000755,0
14,2,0,0.000715,1
14,3,0,0.000846,1
14,4,0,0.000795,3
14,5,0,0.000762,3
14,6,0,0.000732,2
14,7,0,0.000764,4
14,8,0,0.000741,7
14,9,0,0.000717,3
15,1,0,0.001518,1
15,2,0,0.001351,1
15,3,0,0.001451,2
15,4,0,0.001321,1
15,5,0,0.001329,2
15,6,0,0.001315,2
15,7,0,0.001463,6
15,8,0,0.001315,4
15,9,0,0.001316,4
16,1,0,0.002519,0
16,2,0,0.002549,2
